詞目id,詞目漢字,對應詞目id,對應詞目漢字
47,入,1378,出
542,上濟,17760,上少
1378,出,47,入
1383,加,8524,減
1479,出來,22551,出去
1840,生,11187,熟
1841,生,2443,死
2053,先,4898,後
2157,吉兆,13928,歹吉兆
2271,奸,3880,忠
2439,有,8563,無
2443,死,1842,生
2443,死,5166,活
2444,死,5166,活
2450,有力,19150,無夠力
2468,成立,10031,解散
2493,成物,911,毋成物
2547,有路用,609,不中用
2547,有路用,8655,無路用
2699,老師,11618,學生
2699,老師,18519,門生
2842,西洋,4223,東洋
3056,尾,12031,頭
3337,私,577,公
3880,忠,2271,奸
4035,拍拚,7966,貧惰
4420,肥,11208,瘦
4680,侮辱,8309,尊重
4930,後尾,1323,代先
4930,後尾,12058,頭前
5166,活,2443,死
5166,活,2457,死亡
5200,活路,2546,死路
5452,苦,7630,甜
5498,重,10853,輕
5900,家己人,1416,外人
6534,茈,2590,老
6632,袂,9565,會
6801,高,170,低
7127,埠頭,13968,外埠頭
7513,清,11740,濁
7630,甜,5452,苦
7644,眾人,22126,個人
7966,貧惰,4035,拍拚
7966,貧惰,6805,骨力
7966,貧惰,10838,認真
8166,善,8341,惡
8341,惡,8166,善
8467,散賣,521,大賣
8524,減,1383,加
8563,無,2439,有
8655,無路用,638,中用
8655,無路用,2547,有路用
8670,無銷,18249,有銷
8681,焦鬆,8550,湳
8681,焦鬆,9948,落湳
8681,焦鬆,19512,澹溼
8769,硬,7893,軟
9075,貴氣,19019,粗氣
9565,會,6632,袂
10241,過謙,12330,聳勢
10838,認真,7967,貧惰骨
10853,輕,5498,重
11208,瘦,4420,肥
11554,養的,19547,親生的
11618,學生,2699,老師
11740,濁,7513,清
12031,頭,3056,尾
12480,擲,3945,抾
13206,歡喜,8328,悲哀
13206,歡喜,8334,悲傷
13693,重本,19782,輕本
13761,閒身,19822,無閒人
14083,宕,10824,趕
14101,武車,20025,文車
14381,會得過,6654,袂得過
14381,會得過,20180,袂當過
